figure,panel,figure_title,panel_legend,availability_note,panel_source_data_files,panel_code_files,figure_level_source_data_dir,figure_level_code_dir,original_source_dirs,original_code_dirs
Figure 2,d,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,"Pseudotime reconstruction of the germline developmental continuum. Cells are ordered from spermatogonial states through meiotic and post-meiotic stages, enabling stage-resolved comparison of control and disease trajectories.",,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_D/source_data/figure2_source_data__Fig2D_pseudotime_cells.csv; latest_figure_panel_data_code_20260604/Figure_2/panels/panel_D/source_data/figure2_source_data__Fig2D_trajectory_lines.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_D/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,e,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,Local group-mixing entropy calculated along germline pseudotime. Lower entropy indicates stronger separation between control and disease groups. The entropy trough identifies the late primary spermatocyte window as the earliest robust point of disease-control divergence.,,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_E/source_data/figure2_source_data__Fig2E_entropy_curve.csv; latest_figure_panel_data_code_20260604/Figure_2/panels/panel_E/source_data/figure2_source_data__Fig2E_stage_mean_entropy.csv; latest_figure_panel_data_code_20260604/Figure_2/panels/panel_E/source_data/figure2_source_data__Fig2E_stage_pseudotime_q10_q90.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_E/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,f,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,"Donor-resolved paired analysis of local group-mixing entropy in early versus late primary spermatocytes. Each line represents one donor, and line width reflects the number of informative cells contributing to the paired comparison. A predominantly negative late-minus-early entropy shift indicates increased divergence upon progression into late meiosis.",,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_F/source_data/figure2_source_data__Fig2F_paired_slopes.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_F/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,g,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,Gene set enrichment analysis of Hallmark oxidative phosphorylation in late primary spermatocytes comparing disease groups with controls. Disease-associated attenuation of oxidative phosphorylation indicates impaired mitochondrial energetic programs at the meiotic divergence window.,,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_G/source_data/figure2_source_data__Fig2G_GSEA_OXPHOS.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_G/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 2,h,Germline developmental divergence from controls emerges at late primary spermatocytes and propagates into post-meiotic stress programs.,Gene set enrichment analysis of Hallmark apoptosis in round spermatids comparing disease groups with controls. Increased apoptotic signaling in downstream post-meiotic cells indicates propagation of late-meiotic dysfunction into spermatid attrition. NES and adjusted P values are shown in the panels where applicable.,,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_H/source_data/figure2_source_data__Fig2H_GSEA_APOPTOSIS.csv,latest_figure_panel_data_code_20260604/Figure_2/panels/panel_H/code/figure2_code__fig2_plot.R,latest_figure_panel_data_code_20260604/Figure_2/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_2/figure_level_code,current_source_data_20260602/figure2_source_data,current_source_data_20260602/figure2_code
Figure 3,a,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"UMAP embedding of the re-clustered somatic compartment colored by major somatic lineage, including Sertoli cells, Leydig cells, immune cells, peritubular myoid cells, and endothelial cells.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_A/source_data/figure3_source_data__Fig3A_somatic_umap_cells.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_A/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_A/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,b,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"Integrated somatic niche-driver priority score ranking major somatic lineages according to remodeling burden, pathway perturbation, germline association, and niche-module involvement. Leydig cells rank highest, followed by Sertoli cells, nominating the interstitial endocrine axis and tubular support axis as the dominant somatic components associated with germline failure.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_B/source_data/figure3_source_data__Fig3B_integrated_priority_metrics.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_B/source_data/figure3_source_data__Fig3B_original_remodeling_signal.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_B/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_B/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,c,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"Disease-associated pathway enrichment in Leydig cells and Sertoli cells across azoospermia etiologies. Dot color indicates normalized enrichment score, and dot size indicates enrichment significance. Leydig-cell pathways include cholesterol homeostasis, fatty-acid metabolism, oxidative phosphorylation, TNFα/NF-κB signaling, extracellular-matrix/adhesion programs, hypoxia, and apoptosis. Sertoli-cell pathways include ECM/adhesion, TNFα/NF-κB signaling, interferon response, apoptosis, p53 stress, glycolysis, and oxidative phosphorylation.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_C/source_data/figure3_source_data__Fig3C_LC_ST_pathway_enrichment_selected.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_C/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_C/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,d,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"Donor-level heatmap of integrated somatic niche scores, including Sertoli maturity, BTB integrity, Sertoli stress, Sertoli SASP-like activity, Leydig maturity, and Leydig immaturity. Donors are ordered along the niche-collapse axis from a preserved state to a collapsed state. Values are z-scored across donors.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/source_data/figure3_source_data__Fig3D_core_somatic_niche_scores_z_matrix.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/source_data/figure3_source_data__Fig3D_group_bar_annotation.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/source_data/figure3_source_data__Fig3D_optional_extended_all_niche_scores_z_matrix.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/source_data/figure3_source_data__Fig3D_sample_order_by_PC1v2.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_D/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,e,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"Core Leydig–Sertoli–germline association map summarizing donor-level correlations among Leydig maturity/immaturity, Sertoli maturity, BTB integrity, germline maturity, and latest germline stage detected. Red edges indicate positive correlations, blue edges indicate negative correlations, and line width reflects the absolute Spearman correlation coefficient.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_E/source_data/figure3_source_data__Fig3E_core_LC_ST_germ_association_edges.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_E/source_data/figure3_source_data__Fig3E_full_score_correlation_long.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_E/source_data/figure3_source_data__Fig3E_full_score_correlation_matrix.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_E/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_E/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,f,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,"Principal-component embedding of donors based on integrated niche scores. PC1 represents the dominant niche-collapse axis, separating donors with mature, barrier-intact somatic niches from donors with stress-enriched and Leydig-immature niche states.",,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_F/source_data/figure3_source_data__Fig3F_PCA_niche_axis_points.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_F/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_F/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 3,g,Somatic niche prioritization identifies coordinated Leydig–Sertoli collapse linked to germline outcome.,Association between the niche-collapse axis and germline outcomes. Higher niche-collapse scores correlate with lower germline maturity index and earlier latest germline stage recovered per donor. Spearman correlation coefficients and P values are shown in the panels.,,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/source_data/figure3_source_data__Fig3G_germ_maturity_spearman_summary.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/source_data/figure3_source_data__Fig3G_latest_stage_spearman_summary.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/source_data/figure3_source_data__Fig3G_niche_axis_vs_germ_maturity.csv; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/source_data/figure3_source_data__Fig3G_niche_axis_vs_latest_stage.csv,latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/code/figure3_code__patch_fix_C_D_and_preview.py; latest_figure_panel_data_code_20260604/Figure_3/panels/panel_G/code/figure3_code__plot_figure3_realdata_AI_panels.py,latest_figure_panel_data_code_20260604/Figure_3/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_3/figure_level_code,current_source_data_20260602/figure3_source_data,current_source_data_20260602/figure3_code
Figure 4,a,Sertoli-cell state remodeling couples immature/stress programs to reduced blood–testis barrier integrity.,"Sertoli-cell subclustering and trajectory reconstruction. UMAP embeddings show Sertoli cells colored by diagnosis, by inferred Sertoli-cell state, and by pseudotime. Three recurrent Sertoli states are resolved along a continuous trajectory from immature/reactive to mature-supportive states.",full; Cell-level and trajectory line data available.,latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/plot_code__NO_PLOT_CODE_FOUND.txt; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_data__Fig4A_monocle_plot_coords.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_data__Fig4A_monocle_pseudotime_cells.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_data__Fig4A_monocle_trajectory_lines.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_data__Fig4A_monocle_pseudotime_cells_2.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_data__Fig4A_monocle_pseudotime_cells_3.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_ST_cells_trajectory.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_ST_counts_by_group.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_ST_counts_by_state.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_ST_pseudotime_summary.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_stage_candidate_mapping.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/figure4_source_data__Fig4A_trajectory_line_points.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_support__Fig4A_monocle_plot_coords.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_support__Fig4A_monocle_pseudotime_cells.xls; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/source_data/raw_support__Fig4A_monocle_trajectory_lines.xls,latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/code/figure4_code__README.txt; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/code/figure4_code__fig4_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/code/figure4_code__figure4_source_data.py; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_A/code/plot_code__NO_PLOT_CODE_FOUND.txt,latest_figure_panel_data_code_20260604/Figure_4/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_4/figure_level_code,current_source_data_20260602/figure4_source_data; current_source_data_20260602/figure4_panel_raw,current_source_data_20260602/figure4_code
Figure 4,b,Sertoli-cell state remodeling couples immature/stress programs to reduced blood–testis barrier integrity.,"Heatmap of Sertoli state-discriminating genes across trajectory-defined states. Early/reactive states are enriched for immediate-early and stress-associated genes, whereas mature-supportive states express genes associated with differentiated Sertoli identity and tubular support function.",full; Heatmap matrix file available in ST heatmap export bundle.,latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/plot_code__NOTE.txt; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/raw_data__Fig4B_heatmap_export.xlsx; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/figure4_source_data__Fig4B_heatmap_gene_order.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/figure4_source_data__Fig4B_heatmap_matrix_long.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/figure4_source_data__Fig4B_heatmap_matrix_wide.csv; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/source_data/raw_support__Fig4B_heatmap_export.xlsx,latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/figure4_code__README.txt; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/figure4_code__fig4_plot_panels.py; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/figure4_code__figure4_source_data.py; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/plot_code__Fig4_ST_heatmap_clustergvis_alt_original.R; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/plot_code__Fig4_ST_heatmap_clustergvis_original.R; latest_figure_panel_data_code_20260604/Figure_4/panels/panel_B/code/plot_code__NOTE.txt,latest_figure_panel_data_code_20260604/Figure_4/figure_level_source_data,latest_figure_panel_data_code_20260604/Figure_4/figure_level_code,current_source_data_20260602/figure4_source_data; current_source_data_20260602/figure4_panel_raw,current_source_data_20260602/figure4_code
